index,acronym,name,depth,parent_structure_id
16096,RSC-3,layer 3 of RSC,11,16093
16097,RSC-4,layer 4 of RSC,11,16093
16098,RSC-5,layer 5 of RSC,11,16093
16099,RSC-6,layer 6 of RSC,11,16093
16100,RSC-6a,layer 6a of RSC,12,16099
16101,RSC-6b,layer 6b of RSC,12,16099
16102,ERCx,entorhinal cortex,8,16001
16103,ERv,ventricular zone of ERCx,9,16102
16104,ERm,mantle zone of ERCx,9,16102
16105,ERp,periventricular stratum of ERCx (subventricular zone),10,16104
16106,ERi,intermediate stratum of ERCx (white matter/subplate),10,16104
16107,ERs,superficial stratum of ERCx (cortical plate/marginal zone),10,16104
16108,ER-1,layer 1 of ERCx,11,16107
16109,ER-2,layer 2 of ERCx,11,16107
16110,ER-3,layer 3 of ERCx,11,16107
16111,ER-4,layer 4 of ERCx,11,16107
16112,ER-5,layer 5 of ERCx,11,16107
16113,ER-6,layer 6 of ERCx,11,16107
16114,MPall,medial pallium (hippocampal allocortex),7,15903
111220562,MPallv,ventricular zone of MPall,9,16114
111220564,MPallm,mantle zone of MPall,9,16114
111220566,MPallp,periventricular stratum of MPall,10,111220564
111220568,MPalli,intermediate stratum of MPall,10,111220564
111220570,MPalls,superficial stratum of MPall,10,111220564
16115,DG,dentate gyrus,8,16114
16116,DGv,ventricular zone of DG,9,16115
16117,DGm,mantle zone of DG,9,16115
16118,DGp,periventricular stratum of DG,10,16117
16119,DGi,intermediate stratum of DG,10,16117
16120,DGHil,hilus of the DG,11,16119
16121,DGs,superficial stratum of DG,10,16117
16122,DGGran,granule cell layer of the DG,11,16121
16123,DGMol,molecular layer of the DG,11,16121
16124,CA,hippocampus (cortex Ammonis),8,16114
16125,CAv,ventricular zone of CA,9,16124
16126,CAm,mantle zone of CA,9,16124
16127,CAp,periventricular stratum of CA,10,16126
16128,CAi,intermediate stratum of CA,10,16126
16130,CAs,superficial stratum of CA,10,16126
16131,CA1,Field CA1,11,16130
16132,CA1so,"Field CA1, stratum oriens",12,16131
16133,CA1sp,"Field CA1, stratum pyramidale",12,16131
16134,CA1sr,"Field CA1, stratum radiatum",12,16131
16135,CA1slm,"Field CA1, stratum lacunosum-moleculare",12,16131
16136,CA2,Field CA2,11,16130
16137,CA2slm,"Field CA2, stratum lacunosum-moleculare",12,16136
16138,CA2so,"Field CA2, stratum oriens",12,16136
16139,CA2sp,"Field CA2, stratum pyramidale",12,16136
16140,CA2sr,"Field CA2, stratum radiatum",12,16136
16141,CA3,Field CA3,11,16130
16142,CA3so,"Field CA3, stratum oriens",12,16141
16143,CA3sp,"Field CA3, stratum pyramidale",12,16141
16144,CA3slu,"Field CA3, stratum lucidum",12,16141
16145,CA3sr,"Field CA3, stratum radiatum",12,16141
16146,CA3slm,"Field CA3, stratum lacunosum-moleculare",12,16141
16147,IG,induseum griseum,8,16114
16148,IGv,ventricular zone of the IG,9,16147
16149,IGm,mantle zone of the IG,9,16147
16150,IGp,periventricular stratum of the IG,10,16149
16151,IGi,intermediate stratum of the IG,10,16149
16152,IGs,superficial stratum of the IG,10,16149
16153,PyIG,pyramidal layer of IG,11,16152
16154,TTe,taenia tecta,8,16114
16155,TTev,ventricular zone of TTe,9,16154
16156,TTem,mantle zone of TTe,9,16154
16157,TTep,periventricular stratum of TTe,10,16156
16158,DPp,"dorsal peduncular cortex, periventricular part",11,16157
16159,TTei,intermediate stratum of TTe,10,16156
16160,DPi,"dorsal peduncular cortex, intermediate part",11,16159
16161,TTes,superficial stratum of TTe,10,16156
16162,PyTT,pyramidal layer of taenia tecta,11,16161
16163,S,subiculum,8,16114
16164,Sv,ventricular zone of S,9,16163
16165,Sm,mantle zone of S,9,16163
16166,Sp,periventricular stratum of S,10,16165
16167,Si,intermediate stratum of S,10,16165
16169,Ss,superficial stratum of S,10,16165
16170,PyS,pyramidal layer of S,11,16169
16171,SMol,molecular layer of S,11,16169
16172,PrS,presubiculum,8,16114
16173,PrSv,ventricular zone of PrS,9,16172
16174,PrSm,mantle zone of PrS,9,16172
16175,PrSp,periventricular stratum of PrS (subventricular zone),10,16174
16176,PrSi,intermediate stratum of PrS (white matter/subplate),10,16174
16177,PrSs,superficial stratum of PrS (cortical plate/marginal zone),10,16174
16178,PrS-1,layer 1 of PrS,11,16177
16179,PrS-2,layer 2 of PrS,11,16177
16180,PrS-3,layer 3 of PrS,11,16177
16181,PrS-4,layer 4 of PrS (lamina dissecans),11,16177
16182,PrS-5,layer 5 of PrS,11,16177
16183,PrS-6,layer 6 of PrS,11,16177
16184,PrS-6a,layer 6a of PrS,12,16183
16185,PrS-6b,layer 6b of PrS,12,16183
16186,PaS,parasubiculum,8,16114
16187,PaSv,ventricular zone of PaS,9,16186
16188,PaSm,mantle zone of PaS,9,16186
16189,PaSp,periventricular stratum of PaS (subventricular zone),10,16188
16190,PaSi,intermediate stratum of PaS (white matter/subplate),10,16188
16191,PaSs,superficial stratum of PaS (cortical plate/marginal zone),10,16188
16192,PaS-1,layer 1 of PaS,11,16191
16193,PaS-2,layer 2 of PaS,11,16191
16194,PaS-3,layer 3 of PaS,11,16191
16195,PaS-4,layer 4 of PaS,11,16191
16196,PaS-5,layer 5 of PaS,11,16191
16197,PaS-6,layer 6 of PaS,11,16191
111220572,PaS-6a,layer 6a of PaS,12,16197
111220574,PaS-6b,layer 6b of PaS,12,16197
112892265,Fc,fasciola cinerea,8,16114
112892267,Fcv,ventricular zone of the Fc,9,112892265
112892269,Fcm,mantle zone of the Fc,9,112892265
112892271,Fcp,periventricular stratum of the Fc,10,112892269
112892273,Fci,intermediate stratum of the Fc,10,112892269
112892275,Fcs,superficial stratum of the Fc,10,112892269
112892277,PyFc,pyramidal layer of Fc,11,112892275
112892279,FcMol,molecular layer of Fc,11,112892275
16198,SePall,pallial septum,7,15903
16199,SePallv,ventricular zone of SePall,9,16198
16200,SePallm,mantle zone of SePall,9,16198
16201,SePallp,periventricular stratum of SePall,10,16200
16202,SePalli,intermediate stratum of SePall,10,16200
16203,SePalls,superficial stratum of SePall,10,16200
16204,SHi,septohippocampal nucleus,11,16203
16205,TelH,telencephalo-hypothalamic transition area,6,15750
16206,TelHv,ventricular zone of TelH,9,16205
16207,TelHm,mantle zone of TelH,9,16205
16208,TelHp,periventricular stratum of TelH,10,16207
16209,TelHi,intermediate stratum of TelH,10,16207
16210,TelHs,superficial stratum of TelH,10,16207
16211,PHy,peduncular (caudal) hypothalamus,4,15738
16212,PHyA,alar part of peduncular hypothalamus,5,16211
16213,PPaA,peduncular paraventricular area of PHyA,6,16212
16214,PPav,ventricular zone of PPaA,9,16213
16215,PPam,mantle zone of PPaA,9,16213
16216,PPap,periventricular stratum of PPaA,10,16215
16217,PPa,"paraventricular nucleus, peduncular or principal part",11,16216
16218,PaD,"paraventricular nucleus, dorsal part",12,16217
16219,PaC,"paraventricular nucleus, cap part",12,16217
16220,Pacap,cap part of PPa,13,16219
16221,PaLM,lateral magnocellular part of PPa,13,16219
16222,PaMM,medial magnocellular part of PPa,13,16219
16223,PaMP,medial parvicellular part of PPa,13,16219
16224,PaR,"paraventricular nucleus, rostral part",12,16217
16225,PPai,intermediate stratum of PPaA,10,16215
16226,PaL,"paraventricular nucleus, lateral part",11,16225
16227,UDPeF,upper dorsal perifornical nucleus,11,16225
16228,UDLH,upper dorsal lateral hypothalamic area,11,16225
16229,LPo,lateral posterior nucleus,11,16225
16230,PSM,peduncular nucleus of the stria medullaris,11,16225
16231,PPas,superficial stratum of PPaA,10,16215
16232,EPD,dorsal entopeduncular nucleus,11,16231
16233,PSPa,peduncular subparaventricular area,6,16212
16234,PSPav,ventricular zone of PSPa,9,16233
16235,PSPam,mantle zone of PSPa,9,16233
16236,PSPap,periventricular stratum of PSPa,10,16235
16237,AHPp,"posterior anterior hypothalamic area, periventricular part",11,16236
16238,A13,A13 dopaminergic cell group,11,16236
16239,PSPai,intermediate stratum of PSPa,10,16235
16240,AHP,posterior part of anterior hypothalamic nucleus,11,16239
16241,Stg,stigmoid nucleus,12,16240
16242,LDPeF,lower dorsal perifornical nucleus,11,16239
16243,LDLH,lower dorsal lateral hypothalamic area,11,16239
16244,PSPas,superficial stratum of PSPa,10,16235
16245,EPV,ventral entopeduncular nucleus,11,16244
16246,DVLH,dorsoventral lateral hypothalamic area,11,16244
16247,PHyB,basal peduncular hypothalamus,5,16211
16248,PHyB-D,dorsal part of PHyB,6,16247
16249,PHyB-Dv,ventricular zone of PHyB-D,9,16248
16250,PHyB-Dm,mantle zone of PHyB-D,9,16248
16251,PHyB-Dp,periventricular stratum of PHyB-D,10,16250
16252,PBasp,"posterobasal nucleus, periventricular part",11,16251
16253,PHyB-Di,intermediate stratum of PHyB-D,10,16250
16254,PBasi,"posterobasal nucleus, intermediate part",11,16253
16255,UBLH,upper basal lateral hypothalamic area,11,16253
16256,UBPeF,upper basal perifornical nucleus,11,16253
16257,PHyB-Ds,superficial stratum of PHyB-D,10,16250
16258,MCSH,magnocellular superficial hypothalamic nucleus,11,16257
16259,PHyB-I,intermediate part of PHyB,6,16247
16260,PHyB-Iv,ventricular zone of PHyB-I,9,16259
16261,PHyB-Im,mantle zone of PHyB-I,9,16259
16262,PHyB-Ip,periventricular stratum of PHyB-I,10,16261
16263,P-DMHp,periventricular domain associated to P-DMH,11,16262
16264,PHyB-Ii,intermediate stratum of PHyB-I,10,16261
16265,P-DMH,peduncular part of dorsomedial hypothalamic nucleus,11,16264
16266,P-DMHc,core of P-DMH,12,16265
16267,P-DMHs,shell of P-DMH,12,16265
16268,LBLH,lower basal lateral hypothalamic area,11,16264
16269,LBPeF,lower basal perifornical nucleus,11,16264
16270,PHyB-Is,superficial stratum of PHyB-I,10,16261
16271,LTu,lateral tuberal nucleus,11,16270
16272,STh,subthalamic nucleus (migrated),11,16270
16273,PSTh,parasubthalamic nucleus (migrated),11,16270
16274,PHyB-V,ventral part of PHyB,6,16247
16275,PHyB-Vv,ventricular zone of PHyB-V,9,16274
16276,P-HVO,"hypothalamic ventricular organ, peduncular part",11,16275
16277,PHyB-Vm,mantle zone of PHyB-V,9,16274
16278,PHyB-Vp,periventricular stratum of PHyB-V,10,16277
16279,DTMp,"dorsal tuberomammillary nucleus, periventricular part (histaminergic)",11,16278
16280,PHyB-Vi,intermediate stratum of PHyB-V,10,16277
16281,DTMi,"dorsal tuberomammillary nucleus, intermediate part (histaminergic)",11,16280
16282,PHyB-Vs,superficial stratum of PHyB-V,10,16277
16283,PTe,paraterete nucleus,11,16282
16284,CTM,caudal tuberomammillary nucleus (histaminergic),11,16282
16285,PHyB-P,perimammillary part of PHyB,6,16247
16286,PHyB-Pv,ventricular zone of PHyB-P,9,16285
16287,PHyB-Pm,mantle zone of PHyB-P,9,16285
16288,PHyB-Pp,periventricular stratum of PHyB-P,10,16287
16289,PPRM,periventricular periretromammillary nucleus,11,16288
16290,PHyB-Pi,intermediate stratum of PHyB-P,10,16287
16291,IPRM,intermediate periretromammillary nucleus,11,16290
16292,PHyB-Ps,superficial stratum of PHyB-P,10,16287
16293,LPRM,lateral periretromammillary nucleus,11,16292
16294,PHyB-M,mammillary part of PHyB,6,16247
16295,RMa,retromammillary area,7,16294
16296,RMav,ventricular zone of RMa,9,16295
16297,RMam,mantle zone of RMa,9,16295
16298,RMap,periventricular stratum of RMa,10,16297
16299,RMM,"retromammillary area, medial part",11,16298
16300,SMT,submammillothalamic nucleus,11,16298
16301,RMai,intermediate stratum of RMa,10,16297
16302,RML,"retromammillary area, lateral part",11,16301
16303,RMas,superficial stratum of RMa,10,16297
16304,SThO,subthalamic nucleus (migratory origin),11,16303
16305,PSThO,parasubthalamic nucleus (migratory origin),11,16303
16306,PHyF,floor of peduncular hypothalamus,5,16211
16307,RMaF,retromammillary floor,6,16306
16308,D,diencephalon,2,15566
16309,p3,prosomere 3,3,16308
16310,PTh,prethalamus,4,16309
16311,p3R,roof plate of p3,5,16310
16312,p3Ch,choroidal tissue of p3,6,16311
111220576,p3Chv,ventricular zone of p3Ch,9,16312
111220578,p3Chm,mantle zone of p3Ch,9,16312
16313,p3A,alar plate of p3 (alar prethalamus),5,16310
16314,p3AD,dorsal part of alar p3,6,16313
16315,PThE,prethalamic eminence,7,16314
16316,PThEv,ventricular zone of PThE,9,16315
16317,PThEm,mantle zone of PThE,9,16315
16318,PThEp,periventricular stratum of PThE,10,16317
16319,PThEi,intermediate stratum of PThE,10,16317
16320,SM,nucleus of the stria medullaris (prethalamic),11,16319
16321,PThEs,superficial stratum of PThE,10,16317
16322,p3AL,lateral part of alar p3,6,16313
16323,RtC,reticular complex,7,16322
16324,RtCv,ventricular zone of RtC,9,16323
16325,RtCm,mantle zone of RtC,9,16323
16326,RtCp,periventricular stratum of RtC,10,16325
16327,RHy,retrohypothalamic nucleus,11,16326
16328,RtCi,intermediate stratum of RtC,10,16325
16329,Rt,reticular nucleus,11,16328
16330,RtCs,superficial stratum of RtC,10,16325
16331,SubG,subgeniculate nucleus,11,16330
16332,p3APV,posteroventral part of alar p3,6,16313
111220580,p3APVv,ventricular zone of p3APV,9,16332
111220582,p3APVm,mantle zone of p3APV,9,16332
16333,p3ZL,prethalamic (p3) zona limitans domain,7,16332
16334,p3ZLv,ventricular zone of p3ZL,9,16333
16335,p3ZLm,mantle zone of p3ZL,9,16333
16336,p3ZLp,periventricular stratum of p3ZL,10,16335
16337,p3ZLS,shell of p3ZL,11,16336
16338,p3ZLi,intermediate stratum of p3ZL,10,16335
16339,IntC,intercalate nucleus,11,16338
16340,p3ZLs,superficial stratum of p3ZL,10,16335
16341,PreG,pregeniculate nucleus,11,16340
16342,PP,peripeduncular nucleus,11,16340
16343,ZIC,zona incerta complex,7,16332
16344,ZICv,ventricular zone of ZIC,9,16343
16345,ZICm,mantle zone of ZIC,9,16343
16346,ZICp,periventricular stratum of ZIC,10,16345
16347,ZIM,magnocellular (periventricular) zona incerta,11,16346
16348,ZICi,intermediate stratum of ZIC,10,16345
16349,RZI,rostral zona incerta,11,16348
16350,ZICs,superficial stratum of ZIC,10,16345
16352,PThTg,prethalamic tegmentum,4,16309
16353,p3B,basal plate of p3,5,16352
16354,p3Bv,ventricular zone of p3B,9,16353
16355,p3Bm,mantle zone of p3B,9,16353
16356,p3Bp,periventricular stratum of p3B,10,16355
16357,p3PEW,p3 portion of the pre-Edinger-Westphal nucleus,11,16356
16358,p3Bi,intermediate stratum of p3B,10,16355
16359,p3ZLC,p3 part of the ZL core,11,16358
16360,CZI,caudal zona incerta,11,16358
16361,p3Tg,tegmental field of p3 (Forel's field),11,16358
16362,Gem,gemini nuclei,11,16358
16363,p3PBP,p3 portion of parabrachial pigmented nucleus,11,16358
16364,p3Bs,superficial stratum of p3B,10,16355
16351,EPAc,accessory entopeduncular nucleus (post-migratory),11,16364
16365,p3SNC,p3 portion of the substantia nigra pars compacta,11,16364
16366,p3SNR,p3 portion of the substantia nigra pars reticulata,11,16364
16367,p3PN,p3 portion of paranigral nucleus,11,16364
16368,p3F,floor plate of p3,5,16352
16369,p3Fv,ventricular zone of p3F,9,16368
16370,p3Fm,mantle zone of p3F,9,16368
16371,p3Fp,periventricular stratum of p3F,10,16370
16372,p3Fi,intermediate stratum of p3F,10,16370
16373,p3Fs,superficial stratum of p3F,10,16370
16374,p3VTA,p3 portion of the ventral tegmental area,11,16373
16375,p2,prosomere 2,3,16308
16376,Th,thalamus,4,16375
16377,p2R,roof plate of p2 (epithalamic roofplate),5,16376
16378,p2Ch,choroidal tissue of p2,6,16377
111220584,p2Chv,ventricular zone of p2Ch,9,16378
111220586,p2Chm,mantle zone of p2Ch,9,16378
16379,BHbC,bed of the habenular commissure,11,16378
16380,Pi,pineal gland (epiphysis) and stalk,6,16377
16381,RHb,retrohabenular thalamic area,6,16377
16382,p2A,alar plate of p2 (alar thalamus),5,16376
16383,p2AD,dorsal part of alar p2,6,16382
16384,Hb,habenula (old epithalamus),7,16383
16385,Hbv,ventricular zone of Hb,9,16384
16386,Hbm,mantle zone of Hb,9,16384
16387,Hbp,periventricular stratum of Hb,10,16386
16388,MHb,medial habenular nucleus,11,16387
16389,MSHb,medial subhabenular nucleus,11,16387
16390,Hbi,intermediate stratum of Hb,10,16386
16391,LHbM,medial part of the lateral habenular nucleus,11,16390
16392,LSHb,lateral subhabenular nucleus,11,16390
16393,Hbs,superficial stratum of Hb,10,16386
16394,LHbL,lateral part of the lateral habenular nucleus,11,16393
16395,p2AL,lateral part of alar p2,6,16382
111220588,p2ALv,ventricular zone of p2AL,9,16395
111220590,p2ALm,mantle zone of p2AL,9,16395
16396,DTTh,dorsal tier of thalamus,7,16395
16397,DTThv,ventricular zone of DTTh,9,16396
16398,DTThm,mantle zone of DTTh,9,16396
16399,DTThp,periventricular stratum of DTTh,10,16398
16400,PVA,anterior paraventricular nucleus of thalamus,11,16399
16401,IMD,intermediodorsal nucleus,11,16399
16402,CM,centromedian nucleus,11,16399
16403,IAM,interanteromedial nucleus,11,16399
16404,IAD,interanterodorsal nucleus,11,16399
16405,Rh,rhomboid nucleus,11,16399
16406,Re,"reuniens nucleus, main part",11,16399
16407,RRe,retroreuniens nucleus,11,16399
16408,VRe,ventral reuniens nucleus,11,16399
16409,DTThi,intermediate stratum of DTTh,10,16398
16410,PT,paratenial nucleus,11,16409
16411,MD,mediodorsal nucleus,11,16409
16412,MDM,medial (magnocellular) part of MD,12,16411
16413,MDL,lateral (parvicellular) part of MD,12,16411
16414,MDC,central part of MD,12,16411
16415,IL,intralaminar nuclei,11,16409
16416,PC,paracentral nucleus,12,16415
16417,OPC,oval paracentral nucleus,12,16415
16418,CL,central lateral nucleus,12,16415
16419,A,anterior nuclei,11,16409
16420,AD,anterodorsal nucleus,12,16419
16421,AV,anteroventral nucleus,12,16419
16422,AM,anteromedial nucleus,12,16419
16423,V,ventral nuclei,11,16409
16424,VM,ventromedial nucleus,12,16423
16425,VMP,posterior ventromedial nucleus,12,16423
16426,SubM,submedius thalamic nucleus,12,16423
16427,VA,ventral anterior nucleus,12,16423
16428,VL,ventral lateral nucleus,12,16423
16429,VPM,ventral posteromedial nucleus,12,16423
16430,VPL,ventral posterolateral nucleus,12,16423
16431,VPPC,ventral posterior parvicellular nucleus,12,16423
16432,Po,posterior (ventral) nucleus,12,16423
16433,DTThs,superficial stratum of DTTh,10,16398
16434,LD,laterodorsal nucleus,11,16433
16435,LP,lateral posterior nucleus,11,16433
16436,DLG,dorsal lateral geniculate nucleus,11,16433
16437,ITTh,intermediate tier of thalamus,7,16395
16438,ITThv,ventricular zone of ITTh,9,16437
16439,ITThm,mantle zone of ITTh,9,16437
16440,ITThp,periventricular stratum of ITTh,10,16439
16441,PVP,posterior paraventricular nucleus,11,16440
16442,PF,parafascicular nucleus,11,16440
16443,ITThi,intermediate stratum of ITTh,10,16439
16444,Lth,lithoid nucleus,11,16443
16445,Sc,scaphoid nucleus,11,16443
16446,Eth,ethmoid nucleus,11,16443
16447,SEth,subethmoid nucleus,11,16443
16448,VLi,ventral linear nucleus,11,16443
16449,PoT,posterior triangular nucleus,11,16443
16450,ITThs,superficial stratum of ITTh,10,16439
16451,IPo,intermedioposterior nucleus,11,16450
16452,SG,suprageniculate nucleus,11,16450
16453,VTTh,ventral tier of thalamus,7,16395
16454,VTThv,ventricular zone of VTTh,9,16453
16455,VTThm,mantle zone of VTTh,9,16453
16456,VTThp,periventricular stratum of VTTh,10,16455
16457,SPFMC,magnocellular (medial) subparafascicular nucleus,11,16456
16458,VTThi,intermediate stratum of VTTh,10,16455
16459,SPFPC,parvicellular (lateral) subparafascicular nucleus,11,16458
16460,PIL,posterior intralaminar nucleus,11,16458
16461,VTThs,superficial stratum of VTTh,10,16455
16462,MG,medial geniculate nucleus,11,16461
16463,MGV,ventral subnucleus of MG,12,16462
16464,MGD,dorsal subnucleus of MG,12,16462
16465,MGM,medial subnucleus of MG,12,16462
16466,p2AAV,anteroventral part of alar thalamus,6,16382
111220592,p2AAVv,ventricular zone of p2AAV,9,16466
111220594,p2AAVm,mantle zone of p2AAV,9,16466
16467,p2ZL,thalamic (p2) zona limitans domain,7,16466
16468,p2ZLv,ventricular zone of p2ZL,9,16467
16469,p2ZLm,mantle zone of p2ZL,9,16467
16470,p2ZLp,periventricular stratum of p2ZL,10,16469
16471,p2ZLS,shell of p2ZL,11,16470
16472,p2ZLi,intermediate stratum of p2ZL,10,16469
16473,IZL,interstitial nucleus of the zona limitans,11,16472
16474,p2ZLs,superficial stratum of p2ZL,10,16469
16475,IGL,intergeniculate leaflet,11,16474
16476,p2Lim,liminal part of alar p2,7,16466
16477,p2Limv,ventricular zone of p2Lim,9,16476
16478,p2Limm,mantle zone of p2Lim,9,16476
16479,p2Limp,periventricular stratum of p2Lim,10,16478
16480,Lim,liminal nucleus,11,16479
16481,p2Limi,intermediate stratum of p2Lim,10,16478
16482,p2LimRt,reticular formation of p2Lim,11,16481
16483,p2Lims,superficial stratum of p2Lim,10,16478
16484,p2PP,p2 portion of the peripeduncular nucleus,11,16483
16485,EpP,epipeduncular nucleus,11,16483
16486,ThTg,thalamic tegmentum,4,16375
16487,p2B,basal plate of p2,5,16486
16488,p2Bv,ventricular zone of p2B,9,16487
16489,p2Bm,mantle zone of p2B,9,16487
16490,p2Bp,periventricular stratum of p2B,10,16489
16491,p2PEW,p2 portion of the pre-Edinger-Westphal nucleus,11,16490
16492,p2Bi,intermediate stratum of p2B,10,16489
16493,p2ZLC,p2 part of the zona limitans core population,11,16492
16494,RI,rostral interstitial nucleus,11,16492
16495,PR,prerubral area,11,16492
16496,p2PBP,p2 portion of the parabrachial pigmented nucleus,11,16492
16497,p2Bs,superficial stratum of p2B,10,16489
16498,p2MT,p2 portion of the medial terminal nucleus of the accessory optic tract,11,16497
16499,p2SNC,p2 portion of the substantia nigra pars compacta,11,16497
16500,p2SNR,p2 portion of the substantia nigra pars reticulata,11,16497
16501,p2PN,p2 portion of paranigral nucleus,11,16497
16502,p2F,floor plate of p2,5,16486
16503,p2Fv,ventricular zone of p2F,9,16502
16504,p2Fm,mantle zone of p2F,9,16502
16505,p2Fp,periventricular stratum of p2F,10,16504
16506,p2Fi,intermediate stratum of p2F,10,16504
16507,p2Fs,superficial stratum of p2F,10,16504
16508,p2VTA,p2 portion of the ventral tegmental area,11,16507
16509,p1,prosomere 1,3,16308
16510,Pt,pretectum,4,16509
16511,p1R,roof plate of p1,5,16510
16512,PCom,bed area of the posterior commissure,6,16511
16513,PComv,ventricular zone of PCom,9,16512
16514,SCO,subcommissural organ,11,16513
16515,PComm,mantle zone of PCom,9,16512
16516,PComp,periventricular zone of PCom,10,16515
16517,PComi,intermediate zone of PCom,10,16515
16518,PComs,superficial zone of PCom,10,16515
16519,p1A,alar plate of p1,5,16510
16520,PcP,precommissural pretectal domain,6,16519
111220596,PcPv,ventricular zone of PcP,9,16520
111220598,PcPm,mantle zone of PcP,9,16520
16521,PcPD,dorsal part of PcP,7,16520
16522,PcPDv,ventricular zone of PcPD,9,16521
16523,PcPDm,mantle zone of PcPD,9,16521
16524,PcPDp,periventricular stratum of PcPD,10,16523
16525,PcPD-PAG,PcPD part of the periaqueductal gray,11,16524
16526,PcPDi,intermediate stratum of PcPD,10,16523
16527,DF,dorsofrontal pretectal nucleus,11,16526
16528,PcPDs,superficial stratum of PCPD,10,16523
16529,DFS,superficial dorsofrontal area,11,16528
16530,PcPL,lateral part of PcP,7,16520
16531,PcPLv,ventricular zone of PcPL,9,16530
16532,PcPLm,mantle zone of PcPL,9,16530
16533,PcPLp,periventricular stratum of PcPL,10,16532
16534,PcPL-PAG,PcPL part of the periaqueductal gray,11,16533
16535,PcPLi,intermediate stratum of PcPL,10,16532
16536,APTD,"anterior pretectal nucleus, dorsal core part",11,16535
16537,PcPLs,superficial stratum of PcPL,10,16532
16538,APTDS,"anterior pretectal nucleus, dorsal superficial part",11,16537
16539,PcPV,ventral part of PcP,7,16520
16540,PcPVv,ventricular zone of PcPV,9,16539
16541,PcPVm,mantle zone of PcPV,9,16539
16542,PcPVp,periventricular stratum of PcPV,10,16541
16543,PcPV-PAG,PcPV part of the periaqueductal gray,11,16542
16544,PcPVi,intermediate stratum of PcPV,10,16541
16545,APTV,"anterior pretectal nucleus, ventral core part",11,16544
16546,PcPVs,superficial stratum of PcPV,10,16541
16547,APTVS,"anterior pretectal nucleus, ventral superficial part",11,16546
16548,JcP,juxtacommissural pretectal domain,6,16519
111220600,JcPv,ventricular zone of JcP,9,16548
111220602,JcPm,mantle zone of JcP,9,16548
16549,JcPD,dorsal part of JcP,7,16548
16550,JcPDv,ventricular zone of JcPD,9,16549
16551,JcPDm,mantle zone of JcPD,9,16549
16552,JcPDp,periventricular stratum of JcPD,10,16551
16553,JcPD-PAG,JcPD part of the periaqueductal gray,11,16552
16554,JcPDi,intermediate stratum of JcPD,10,16551
16555,DJcP,dorsal juxtacommissural pretectal nucleus,11,16554
16556,SpD,dorsal spiriform nucleus,11,16554
16557,JcPDs,superficial stratum of JcPD,10,16551
16558,JcP-DT,JcP contribution to DT,11,16557
16559,JcPL,lateral part of JcP,7,16548
16560,JcPLv,ventricular zone of JcPL,9,16559
16561,JcPLm,mantle zone of JcPL,9,16559
16562,JcPLp,periventricular stratum of JcPL,10,16561
16563,JcPL-PAG,JcPL part of the periaqueductal gray,11,16562
16564,JcPLi,intermediate stratum of JcPL,10,16561
16565,JcPLRt,reticular formation of JcPL,11,16564
16566,SpL,lateral spiriform nucleus,11,16564
16567,JcPLs,superficial stratum of JcPL,10,16561
16568,JcP-LTL,JcP contribution to LTL,11,16567
16569,JcPV,ventral part of JcP,7,16548
16570,JcPVv,ventricular zone of JcPV,9,16569
16571,JcPVm,mantle zone of JcPV,9,16569
16572,JcPVp,periventricular stratum of JcPV,10,16571
16573,JcPV-PAG,JcPV part of the periaqueductal gray,11,16572
16574,JcPVi,intermediate stratum of JcPV,10,16571
16575,VJcP,ventral juxtacommissural pretectal nucleus,11,16574
16576,JcPVs,superficial stratum of JcPV,10,16571
16577,JcP-LTV,JcP contribution to LTV,11,16576
16578,CoP,commissural pretectal domain,6,16519
111220604,CoPv,ventricular zone of CoP,9,16578
111220606,CoPm,mantle zone of CoP,9,16578
16579,CoPD,dorsal part of CoP,7,16578
16580,CoPDv,ventricular zone of CoPD,9,16579
16581,CoPDm,mantle zone of CoPD,9,16579
16582,CoPDp,periventricular stratum of CoPD,10,16581
16583,CoPD-PAG,CoPD part of the periaqueductal gray,11,16582
16584,CoPDi,intermediate stratum of CoPD,10,16581
16585,MPT,medial pretectal nucleus,11,16584
16586,PrPT,principal pretectal nucleus,11,16584
16587,CoPDRt,reticular formation of CoPD,11,16584
16588,CoPDs,superficial stratum of CoPD,10,16581
16589,OPT,olivary pretectal nucleus,11,16588
16590,DT,dorsal terminal nucleus of the accessory optic tract,11,16588
16591,CoPL,lateral part of CoP,7,16578
16592,CoPLv,ventricular zone of CoPL,9,16591
16593,CoPLm,mantle zone of CoPL,9,16591
16594,CoPLp,periventricular stratum of CoPL,10,16593
16595,CoPL-PAG,CoPL part of the periaqueductal gray,11,16594
16596,CoPLi,intermediate stratum of CoPL,10,16593
16597,PCPC,parvicellular interstitial nucleus of the posterior commissure,11,16596
16598,IPT,intermediate pretectal nucleus,11,16596
16599,CoPLRt,reticular formation of CoPL,11,16596
16600,CoPLs,superficial stratum of CoPL,10,16593
16601,LTL,"lateral terminal nucleus of the accessory optic tract, lateral part",11,16600
16602,CoPV,ventral part of CoP,7,16578
16603,CoPVv,ventricular zone of CoPV,9,16602
16604,CoPVm,mantle zone of CoPV,9,16602
16605,CoPVp,periventricular stratum of CoPV,10,16604
16606,CoPV-PAG,CoPV part of the periaqueductal gray,11,16605
16607,CoPVi,intermediate stratum of CoPV,10,16604
16608,SPT,subpretectal nucleus,11,16607
